,location,area_m2,restrooms,bedrooms,price_usd,total_rooms,price_per_sq
1498,"Casa en Venta La Toscana #00000
, Toluca De Lerdo, México",218,4,3,68000,7,311.92660550458714
1499,"Casa en Venta Carretera Toluca-naucalpan #1702
, Toluca De Lerdo, México",218,4,3,68000,7,311.92660550458714
1500,"Casa en Venta Calle Prol. 5 De Mayo 2 Ote. #1541
, Toluca De Lerdo, México",120,3,3,74500,6,620.8333333333334
1502,"Casa en Venta Calle Luis Gonzaga Urbina
, Tlacopa, Toluca De Lerdo",150,2,2,179943.45,4,1199.623
1503,"Casa en Venta Toluca De Lerdo, México",216,4,4,85000,8,393.51851851851853
1504,"Casa en Venta Hacienda Rancho Seco #00
, Toluca De Lerdo, México",60,1,2,34443.15,3,574.0525
1505,"Casa en Venta Circuito Cardenales #00
, Toluca De Lerdo, México",60,1,2,32100,3,535
1506,"Casa en Venta Toluca De Lerdo, México",233,3,3,187500,6,804.7210300429184
1507,"Casa en Venta Toluca De Lerdo, México",95,1,2,71294.9,3,750.4726315789474
1508,"Casa en Venta Toluca De Lerdo, México",233,3,5,125000,8,536.4806867
1509,"Casa en Venta Camino A San Juan Tilapa #137, 10
, Toluca De Lerdo, México",120,3,3,89000,6,741.6666666666666
1510,"Casa en Venta Boulevard Filiberto Navas, Fraccionamiento Villas Del Parque #0
, Toluca De Lerdo, México",158,2,3,56000,5,354.43037974683546
1511,"Casa en Venta Josue Mirlo
, Federal (adolfo López Mateos), Toluca De Lerdo",310,2,3,121828.55,5,392.99532258064517
1512,"Casa en Venta Cto. A. López Mateos Ote
, Toluca De Lerdo, México",136,1,2,47270,3,347.5735294117647
1513,"Casa en Venta Circuito Lopez Mateos #125
, Toluca De Lerdo, México",230,3,3,95000,6,413.04347826086956
1514,"Casa en Venta Av. Las Partidas
, Toluca De Lerdo, México",90,1,3,70600,4,784.4444444444445
1515,"Casa en Venta Jose Marti #209
, San Lorenzo Tepaltitlán Centro, Toluca De Lerdo",100,2,2,37300,4,373
1517,"Casa en Venta La Barranca #0
, Tlacopa, Toluca De Lerdo",120,2,3,26076.75,5,217.30625
1518,"Casa en Venta Lorenzo Garza #203
, Toluca De Lerdo, México",70,1,2,39700,3,567.1428571428571
1519,"Casa en Venta Av. V. Guerrero
, Cacalomacan, Toluca De Lerdo",212,1,3,105199,4,496.22169811320754
1520,"Casa en Venta Gral. José Vicente Villada #00
, Toluca De Lerdo, México",237,4,5,137300,9,579.3248945
1523,"Casa en Venta Cacalomacan, Toluca De Lerdo",547,4,3,600000,7,1096.892138939671
1524,"Casa en Venta Rancho La Independencia #233, Lt3 Fracc 56
, Toluca De Lerdo, México",100,1,2,40000,3,400
1525,"Casa en Venta Toluca De Lerdo, México",530,3,3,550000,6,1037.7358490566037
1526,"Casa en Venta Orquideas
, Toluca De Lerdo, México",120,2,2,20543.15,4,171.1929166666667
1527,"Casa en Venta Carr. Toluca-naucalpan #1702, 0
, Toluca De Lerdo, México",120,2,2,90500,4,754.1666666666666
1528,"Casa en Venta Marie Curie #0
, Toluca De Lerdo, México",180,3,3,35237.5,6,195.76388888888889
1530,"Casa en Venta Toluca De Lerdo, México",110,1,3,49500,4,450
1531,"Casa en Venta Ignacio Allende #0
, Toluca De Lerdo, México",300,3,3,42500,6,141.66666666666666
1532,"Casa en Venta Toluca De Lerdo, México",400,3,3,800000,6,2000
1533,"Casa en Venta Gómez Farias #00, 00
, Toluca De Lerdo, México",220,8,7,87500,15,397.72727272727275
1534,"Casa en Venta Toluca De Lerdo, México",280,3,4,129272.05,7,461.68589285714285
1535,"Casa en Venta Toluca De Lerdo, México",110,2,3,65848.8,5,598.6254545454545
1536,"Casa en Venta Gral. Jose Vicente Villada
, Santa Ana Tlapaltitlán, Toluca De Lerdo",191,1,3,136800,4,716.2303664921466
1538,"Casa en Venta Paseo Colón #108
, Toluca De Lerdo, México",650,5,6,1800000,11,2769.230769230769
1539,"Casa en Venta Guillermo Marconi
, Toluca De Lerdo, México",120,2,3,50339.65,5,419.49708333333336
1540,"Casa en Venta Toluca De Lerdo, México",120,2,2,28950,4,241.25
1541,"Casa en Venta Jose María Arteaga #112
, Toluca De Lerdo, México",294,3,3,100000,6,340.13605442176873
1542,"Casa en Venta Bernardo G De Lara
, Toluca De Lerdo, México",180,6,7,167500,13,930.5555555555555
1543,"Casa en Venta Toluca De Lerdo, México",280,3,4,120000,7,428.57142857142856
1544,"Casa en Venta Carretera Federal Toluca-naucalpan Villa Toscana #1702, 00
, Toluca De Lerdo, México",127,3,3,89600,6,705.511811
1545,"Casa en Venta Calle Gomez Farias
, San Bernardino, Toluca De Lerdo",230,2,3,109484.9,5,476.02130434782606
1546,"Casa en Venta Arbol De Las Manitas #0
, Toluca De Lerdo, México",300,3,4,19520,7,65.06666666666666
1547,"Casa en Venta Ricardo Flores Magón
, Toluca De Lerdo, México",181,3,3,139370,6,770
1548,"Casa en Venta Independencia #223, 3
, Toluca De Lerdo, México",100,1,2,47500,3,475
1549,"Casa en Venta Toluca De Lerdo, México",133,2,3,68078.05,5,511.8650376
1550,"Casa en Venta Toluca De Lerdo, México",136,1,2,47270,3,347.5735294117647
1551,"Casa en Venta Toluca De Lerdo, México",250,3,5,85000,8,340
1552,"Casa en Venta Progreso #307, 0
, Toluca De Lerdo, México",90,2,3,53058.6,5,589.54
1553,"Casa en Venta Morelos #419, 108
, Toluca De Lerdo, México",80,1,3,35950,4,449.375
1556,"Casa en Venta Boulevard Filiberto Navas #100-b
, Toluca De Lerdo, México",158,2,3,60500,5,382.9113924050633
1558,"Casa en Venta Cacalomacan, Toluca De Lerdo",69,1,2,70000,3,1014.4927536231884
1559,"Casa en Venta Toluca De Lerdo, México",41,1,2,42500,3,1036.5853658536585
1561,"Casa en Venta Manzana Xxi #lt 40, Casa A
, Toluca, Toluca De Lerdo",80,1,3,25375,4,317.1875
1562,"Casa en Venta Toluca De Lerdo, México",148,2,3,80000,5,540.5405405405405
1565,"Casa en Venta Toluca De Lerdo, México",294,3,3,108000,6,367.3469387755102
1566,"Casa en Venta Filiberto Navas #100
, Toluca De Lerdo, México",110,2,2,57500,4,522.7272727272727
1567,"Casa en Venta Hacienda Zumpango #s/n
, Toluca De Lerdo, México",92,2,3,55000,5,597.8260869565217
